а〔连〕①可是②而；因此
вести〔动〕①领，引导②驾驶，开③指导，主持④进行，从事⑤通往
весь〔代〕①整个，全部②（用作名词）一切，一切东西③（用作名词，复）所有的人；大家
весьма〔副〕非常，十分
ветер〔名〕风
ветка〔名〕小树枝；（铁路的）支线
вечер〔名〕①傍晚，晚间②晚会
вечерний〔形〕傍晚的，晚间的
вечером〔副〕在傍晚时，在晚上
вечный〔形〕①永远存在的；终年不断的，不变的②经常的，经常不断的
вещество〔名〕物质，物
вещь〔名〕①物品，东西②事情，情形
взаимный〔形〕相互的
взгляд〔名〕①视线，目光；眼色②看法，观点，见解
взглядывать〔动〕看，瞧‖完взглянуть
взрослый〔形〕①成年的②（用作名词）成年人，大人
вид1〔名〕①外形，样子，形式②风景
вид2〔名〕①种类；种②〈语法〉体
видеть〔动〕①看见，看到②遇到，碰到‖完увидеть
видимо〔副〕看来，大概，想必
видный〔形〕可以看见的，看得出来的，著名的
вилка〔名〕餐叉
винтовка〔名〕步枪
висеть〔动〕悬挂着
вклад〔名〕①（把钱、资本）存入②贡献
владеть〔动〕①有，占有，具有②统治，控制③会使用，精通
вкладывать〔动〕①放入，存入②（把力量，感情等）献给‖完вложить
включать〔动〕①列入，编入②接通；开动（电器，机器等）‖完включить
вкус〔名〕①味道，味②爱好，趣味
власть〔名〕①政权；权力②政权机关
влияние〔名〕影响；作用
влиять〔动〕对…有影响‖完повлиять
вместе〔副〕一起，共同；同时地
вместо〔前〕代替，代
внешний〔形〕①外面的，外界的②表面的，表面上的③对外的
вниз〔副〕向下，往下
внизу〔副〕在下面
внимание〔名〕①注意，注意力②关怀，好意
внимательный〔形〕①注意的，细心的，留神的②表现出关怀的
вновь〔副〕重新，再
внук〔名〕①孙儿；外孙②后辈，儿孙
внутренний〔形〕①（处在）内部的②内心的③内在的④国内的，对内的
внутри①〔副〕在内部，在里面②〔前〕在…内部，在…里面
вовремя〔副〕及时，按时
вовсе〔副〕完全，绝对
во-вторых〔插〕第二（点），其次
вода〔名〕水
водитель〔名〕（汽车，拖拉机等的）驾驶员，司机
водить〔动〕①领，引②驾驶，开
водный〔形〕水的，水上的，水路的
водород〔名〕氢，氢气
воевать〔动〕进行战争，作战
военный〔形〕①战争的；军事的②军队的；为军队服务的③（用作名词）军人
вождь〔名〕领袖
возвращать〔动〕①归还②恢复；使返回‖完возвратить
возвращаться〔动〕①回来，回去②恢复（指情绪，感觉等）‖完возвратиться
воздействие〔名〕影响；作用；感化
воздействовать〔动〕（完，未）起影响；起作用；感化
воздух〔名〕①空气②空中
воздушный〔形〕①空气的，空中的②以空气为动力的③航空的
возить〔动〕搬运，运送
возможно〔副〕①（用作谓语）有可能，可能②〔插〕或许，可能
возможность〔名〕①可能性②机会；可能条件；可能③（复数）力量
возможный〔形〕①可能的②可能实现的，可以做到的
возникать〔动〕发生，产生，出现‖完возникнуть
возникновение〔名〕发生，产生，出现
возраст〔名〕年龄，岁数
возрастать〔动〕（规模、容量、力量等的）增长，加强‖完возрасти
воин〔名〕战士，军人
война〔名〕战争
войско〔名〕军队，部队
вокзал〔名〕火车站；码头（供旅客休息，购票的地方）
вокруг①〔副〕周围，四周②〔前〕在（某物的）周围；围绕，涉及
волейбол〔名〕排球（指运动项目）
волк〔名〕狼
волна〔名〕①波浪，波涛②波
волнение〔名〕①波动，波浪②激动；焦急③风朝，骚动
волновать〔动〕①使起波浪②使激动不安‖完взволновать
волос〔名〕①毛，毛发②头发
воля〔名〕①意志，决心②愿望，要求③不受拘束；自由
вообще〔副〕①一般说来②总是；无论怎样③一般；整个，全部
вооружённый〔形〕持武器的，武装的
во-первых〔插〕第一（点）；首先
вопрос〔名〕①（提出的）问题②（需要解决的）问题
вор〔名〕小偷，窃贼
ворота〔名〕①大门口；大门②球门
восемнадцатый〔数〕第十八
восемнадцать〔数〕十八
восемь〔数〕八
восемьдесят〔数〕八十
воскресенье〔名〕星期日
воспитание〔名〕①教育②培养
воспитывать〔动〕①教育，教养②培养，教育成③使养成‖完воспитать
восстание〔名〕起义
восток〔名〕①东方，东面②东方国家
восточный〔形〕①东方的，东部的，在东面的②东方国家的
восьмой〔数〕第八
вот〔语〕①这就是；看，瞧②就，就是
впадать〔动〕陷入，流入‖完впасть
впервые〔副〕第一次，初次
вперёд〔副〕向前
впередиⅠ〔副〕①在前面②将来Ⅱ〔前〕在…的前面
впечатление〔名〕①印象②感想，观感
вплоть〔副〕一直到（指空间，时间）
вполне〔副〕完全，十分
враг〔名〕①仇人，敌人②反对者③敌军
вражеский〔形〕敌军的，敌人的
врач〔名〕医生，大夫
вращаться〔动〕转动，旋转
вредный〔形〕有害的
время〔名〕①时间；岁月；光阴②时刻，时候③空暇④季节⑤时代
вряд ли〔语〕未必，大概不
всё〔副〕①经常，老是②至今还是，仍然③都是，全是④越来越；日益
всегда〔副〕老是，总是，始终，永远
вселенная〔名〕①宇宙②世界
всемирный〔形〕全世界的
всё-таки①〔连〕仍然，还是②〔语〕到底，究竟
вскоре〔副〕很快（就），不久（就）
вслед①〔副〕跟着，跟随②〔前〕跟着，跟随
вслух〔副〕使人听见地，出声地
вспоминать〔动〕记起，想起，回忆‖完вспомнить
вставать〔动〕①站立起来，起身②起来（斗争，保卫）③升起④产生，呈现‖完встать
встреча〔名〕①相遇，遇见②聚会③比赛④迎接；欢迎
встречать〔动〕①遇到，遇见②得到，受到③迎接，欢迎④对待，对付‖完встретить
вступать〔动〕①进入②加入，参加‖完вступить
всюду〔副〕到处，各处
всякий〔代〕①每一个②各种各样的，各种③任何的④（用作名词）每个人
вторник〔名〕星期二
второй〔数〕第二；次要的，第二位的
в-третьих〔插〕第三（点）；其三
вуз〔名〕高等学校
входить〔动〕①走进②加入，进入③容纳，装，盛‖完войти
вчера〔副〕昨天
вчерашний〔形〕昨天的
вы〔代〕①你们②您，你
выбор〔名〕①选择②供挑选的东西③（复）选举
выбрасывать〔动〕①扔掉，丢掉②删除‖完выбросить
вывод〔名〕①领出，推论出②结论，论断
выводить〔动〕①带出，领出②作出（结论等）‖完вывести
выглядеть〔动〕有…外貌；（外观）看来是
выгода〔名〕①利益②好处
выдавать〔动〕①发给，发付②供出，出卖‖完выдать
выдающийся〔形〕杰出的，卓越的，优秀的
выделять〔动〕①分出，选出（某人从事某种工作）②区别出来，标出‖完выделить
выдумывать〔动〕臆想出，虚构，杜撰‖完выдумать
выезжать〔动〕（乘车，马等）出发，动身，起程‖完выехать
вызывать〔动〕①叫出来，唤出来②引起，激起‖完вызвать
выключать〔动〕①切断线路；关闭②除去；删除‖完выключить
вылетать〔动〕①飞出；飞往②（很快地）跑出‖完вылететь
вынуждать〔动〕迫使（做什么事）‖完вынудить
выполнение〔名〕执行，完成
выполнять〔动〕实现，完成，执行，履行‖完выполнить
выпуск〔名〕①放走，流出，释放②卷，分册；（刊物的）期③届④产量
выпускать〔动〕①放（某人）走，使（液体等）流出②释放③使毕业④生产‖完выпустить
вырабатывать〔动〕①生产出，制造出②拟定③锻炼，培养‖完выработать
выражать〔动〕①表露出；表示；表达（某种思想，感情等）②（用某种单位、度量）表明‖完выразить
выражение〔名〕①表露出；表示；表达②表现，体现③表情④说法，言辞
вырастать〔动〕①发展成为②建造出，建成③（在眼前）呈现‖完вырасти
высказывать〔动〕说出；表示‖完высказать
высокий〔形〕①高的，高大的，高空的②质量好的③（声音）高的
высота〔名〕①高，高度，高处②高空，空中③高地，高原
выставка〔名〕①展览②展览会，陈列馆③陈列橱，陈列品
выстрел〔名〕发射（枪或炮）
выступление〔名〕①出来，出现②发言，表演
выступать〔动〕①走出来，出现②演说，（上台）表演③迈着庄严的步子‖完выступить
высший〔形〕①最高的，质量最好的②（在发展阶段上）最高的，高级
вытаскивать〔动〕①拖出②般到外面，拖到外边‖完вытащить
вытирать〔动〕擦净；擦干；擦掉‖完вытереть
выучивать〔动〕①教会；使学会②学会，背熟‖完выучить
выход〔名〕①出口，门口②出路；（摆脱困难的）方法
выходить〔动〕①走出；往外走②朝向③（插）因此，所以，可见‖完выйти
вычислительный〔形〕计算的，用于计算的
выяснять〔动〕查明，弄明白‖完выяснить
газ〔名〕①气，气体，瓦斯②煤气设备
газета〔名〕报，报纸
газетный〔形〕报纸的
газовый〔形〕气体的，煤气的
галстук〔名〕领带，领巾
где〔副〕①在哪儿②（关系副词）在那里
где-нибудь〔副〕不管在什么地方，不定在何处
где-то〔副〕在一个不确切知道的地方，在某处，在那么一处
генерал〔名〕将军
генеральный〔形〕①总的，主要的②普遍的，全面的
гениальный〔形〕天才的，有才华的
гений〔名〕①天才，独创的才能②有天才的人，天才
география〔名〕地理，地理学
геолог〔名〕地质学家
геология〔名〕地质学
героизм〔名〕勇敢精神，英雄主义
героический〔形〕英雄的，英勇的
герой〔名〕①英雄，勇士②（文学作品的）主角，主人公
гидростанция〔名〕水力发电站
гипотеза〔名〕假设，假定
глава1〔名〕领导人，首脑，首长
глава2〔名〕章，篇
главный〔形〕①主要的②主管的；处于领导地位的
гладить〔动〕①弄平，抚摩②熨平‖完погладить
глаз〔名〕眼睛
глубина〔名〕①深，深度②深出
глубокий〔形〕①深的②深远的，深刻的
глупый〔形〕①愚笨的，愚蠢的②不高明的，糊涂的
глухой〔形〕①耳聋的②（用作名词）聋子
глядеть〔动〕望，看‖完поглядеть‖完，一次глянуть
гнать〔动〕①赶，使朝（某个方向）走②催赶
говорить〔动〕①说②说话，谈话‖完сказать
год〔名〕①年②年岁③年代，时期
годовщина〔名〕周年纪念日，周年
голова〔名〕头
голод〔名〕①饥饿②饥荒③缺乏
голодный〔形〕感到饥饿的
голос〔名〕①声音，噪音②发言权；投票（数）
голубой〔形〕天兰色的，淡兰色的
голубь〔名〕鸽子
гонять〔动〕追赶
гора〔名〕山
гораздо〔副〕…得多
гордиться〔动〕①感到自豪，感到骄傲②自负，骄傲
гордость〔名〕①自豪感②骄傲，自负
горе〔名〕①悲伤，痛苦②不幸的事
гореть〔动〕燃烧‖完сгореть
горло〔名〕咽喉，喉咙
горный〔形〕①山的，山区的，多山的②矿的，矿业的
город〔名〕城市
городок〔名〕小城市，镇
городской〔形〕城市的，市立的
горький〔形〕①（味）苦的②痛苦的，困苦的
горючее〔名〕燃烧，燃液
горячий〔形〕①热的，烫的②热情的，紧张的
гостиница〔名〕旅馆，宾馆，饭店
гость〔名〕客人，来宾
государственный〔形〕国家的，国营的，国立的，国务的
государство〔名〕国家
готовить〔动〕①准备②培养③预备，预习④作饭，作菜⑤打算‖完приготовить
готовый〔形〕①准备停当的，作好准备的②现成的
гражданин〔名〕公民
гражданский〔形〕①民事的②非军用的；民用的
грамм〔名〕克
грамота〔名〕①识字②基本知识，常识③证书
граница〔名〕①界线，交界线②国界③界限，范围
граничить〔动〕①同…交界，毗连，接壤②近似
греть〔动〕①发出热量，使温暖②保暖，御寒（指衣服）‖完нагреть
греческий〔形〕希腊的
гриб〔名〕磨菇
гроза〔名〕①大雷雨，暴风雨②可怕的东西
грозить〔动〕威胁，吓唬‖完погрозить及пригрозить
гром〔名〕雷
громадный〔形〕巨大的，庞大的
громкий〔形〕大声的，宏亮的
грубый〔形〕①粗的，粗糙的②粗鲁的
грудь〔名〕胸，胸部
грузовик〔名〕载重车，卡车
группа〔名〕①一群，一批②组，班，队
грустный〔形〕①感到忧愁的，忧郁的②令人伤感的，愁人的
грязный〔形〕①泥泞的②脏的，不干净的
губа〔名〕唇，嘴唇
гулять〔动〕散步，漫步‖完погулять
гуманитарный〔形〕①人文学的②人道的
густой〔形〕①浓密的②浓厚的，稠的
газ〔名〕①气，气体，瓦斯②煤气设备
газета〔名〕报，报纸
газетный〔形〕报纸的
газовый〔形〕气体的，煤气的
галстук〔名〕领带，领巾
где〔副〕①在哪儿②（关系副词）在那里
где-нибудь〔副〕不管在什么地方，不定在何处
где-то〔副〕在一个不确切知道的地方，在某处，在那么一处
генерал〔名〕将军
генеральный〔形〕①总的，主要的②普遍的，全面的
гениальный〔形〕天才的，有才华的
гений〔名〕①天才，独创的才能②有天才的人，天才
география〔名〕地理，地理学
геолог〔名〕地质学家
геология〔名〕地质学
героизм〔名〕勇敢精神，英雄主义
героический〔形〕英雄的，英勇的
герой〔名〕①英雄，勇士②（文学作品的）主角，主人公
гидростанция〔名〕水力发电站
гипотеза〔名〕假设，假定
глава1〔名〕领导人，首脑，首长
глава2〔名〕章，篇
главный〔形〕①主要的②主管的；处于领导地位的
гладить〔动〕①弄平，抚摩②熨平‖完погладить
глаз〔名〕眼睛
глубина〔名〕①深，深度②深出
глубокий〔形〕①深的②深远的，深刻的
глупый〔形〕①愚笨的，愚蠢的②不高明的，糊涂的
глухой〔形〕①耳聋的②（用作名词）聋子
глядеть〔动〕望，看‖完поглядеть‖完，一次глянуть
гнать〔动〕①赶，使朝（某个方向）走②催赶
говорить〔动〕①说②说话，谈话‖完сказать
год〔名〕①年②年岁③年代，时期
годовщина〔名〕周年纪念日，周年
голова〔名〕头
голод〔名〕①饥饿②饥荒③缺乏
голодный〔形〕感到饥饿的
голос〔名〕①声音，噪音②发言权；投票（数）
голубой〔形〕天兰色的，淡兰色的
голубь〔名〕鸽子
гонять〔动〕追赶
гора〔名〕山
гораздо〔副〕…得多
гордиться〔动〕①感到自豪，感到骄傲②自负，骄傲
гордость〔名〕①自豪感②骄傲，自负
горе〔名〕①悲伤，痛苦②不幸的事
гореть〔动〕燃烧‖完сгореть
горло〔名〕咽喉，喉咙
горный〔形〕①山的，山区的，多山的②矿的，矿业的
город〔名〕城市
городок〔名〕小城市，镇
городской〔形〕城市的，市立的
горький〔形〕①（味）苦的②痛苦的，困苦的
горючее〔名〕燃烧，燃液
горячий〔形〕①热的，烫的②热情的，紧张的
гостиница〔名〕旅馆，宾馆，饭店
гость〔名〕客人，来宾
государственный〔形〕国家的，国营的，国立的，国务的
государство〔名〕国家
готовить〔动〕①准备②培养③预备，预习④作饭，作菜⑤打算‖完приготовить
готовый〔形〕①准备停当的，作好准备的②现成的
гражданин〔名〕公民
гражданский〔形〕①民事的②非军用的；民用的
грамм〔名〕克
грамота〔名〕①识字②基本知识，常识③证书
граница〔名〕①界线，交界线②国界③界限，范围
граничить〔动〕①同…交界，毗连，接壤②近似
греть〔动〕①发出热量，使温暖②保暖，御寒（指衣服）‖完нагреть
греческий〔形〕希腊的
гриб〔名〕磨菇
гроза〔名〕①大雷雨，暴风雨②可怕的东西
грозить〔动〕威胁，吓唬‖完погрозить及пригрозить
гром〔名〕雷
громадный〔形〕巨大的，庞大的
громкий〔形〕大声的，宏亮的
грубый〔形〕①粗的，粗糙的②粗鲁的
грудь〔名〕胸，胸部
грузовик〔名〕载重车，卡车
группа〔名〕①一群，一批②组，班，队
грустный〔形〕①感到忧愁的，忧郁的②令人伤感的，愁人的
грязный〔形〕①泥泞的②脏的，不干净的
губа〔名〕唇，嘴唇
гулять〔动〕散步，漫步‖完погулять
гуманитарный〔形〕①人文学的②人道的
густой〔形〕①浓密的②浓厚的，稠的
давай〔语〕让
да1〔语〕①是的，不错②对③是吗，真的吗
да2〔连〕和，以及；然而
давать〔动〕①给；让给②使能够③交给，委派‖完дать
давно〔副〕①很久以前；很早②很长久，好久
даже〔语〕①甚至，连…也（都）②（用作连接词）甚至
далёкий〔形〕①远的，远距离的，长途的②遥远的，相隔很长时间的
дальнейший〔形〕继续下去的，今后的，进一步的
дальний〔形〕远的，远距离的
дальше〔副〕①以后，往后②继续下去
данные〔名〕资料
дар〔名〕礼物，赠品
дарить〔动〕赠送，送‖完подарить
дата〔名〕日期，日子
дача〔名〕别墅
два〔数〕二，二个
двадцатый〔数〕第二十
двадцать〔数〕二十，二十个
двенадцатый〔数〕第十二
двенадцать〔数〕十二，十二个
дверь〔名〕门，门口
двести〔数〕二百，二百个
двигатель〔名〕发动机
двигать〔动〕①移动，推动②促使发展‖完двинуть
движение〔名〕①动，转动②运动
двое〔数，集〕两个，两对，两双
двойка〔名〕（五分制的）二分
двор〔名〕①院子②农户
дворец〔名〕宫廷，宫殿，宫
девочка〔名〕女孩子，小姑娘
девушка〔名〕少女，姑娘
девяносто〔数〕九十，九十个
девятнадцатый〔数〕第十九
девятнадцать〔数〕十九，十九个
девятый〔数〕第九
девять〔数〕九，九个
девятьсот〔数〕九百，九百个
дед（爱称дедушка）〔名〕①祖父，外祖父②（复）祖先
дежурный〔形〕①值班的，值日的②（用作名词）值班者，值日生
действие〔名〕①行为，行动②（机器等的）转动，运转③作用
действительно〔副〕①真的，的确，果然②（用作肯定语气词及插入语）真的，的确
действительность〔名〕①实际存在，实际情况②现实
действительный〔形〕确实的，真正的，有效的
действовать〔动〕①进行活动，行动②（机器等）运转③起作用‖完подействовать
декабрь〔名〕十二月
делать〔动〕①作，干，制造②使…成为…‖完сделать
делегат〔名〕代表
делегация〔名〕代表团
делить〔动〕①分，划分，分类②分给（某人）③共享④除‖完поделить及разделить
делиться〔动〕①分成，划分成②分享，分用③交流，交换，能除尽‖完поделиться及разделиться
дело〔名〕①事情，工作②有益的事，正经的事③（发生的）事，事件
деловой〔形〕①事务上的②办事能干的
день〔名〕①白昼，白天②日子，日期
деньги〔名〕①钱，货币②资金
депутат〔名〕代表
деревенский〔形〕农村的，乡村的
деревня〔名〕①村，村庄②乡村，农村
дерево〔名〕树，树木，木材，木料
держава〔名〕国家；强国，大国
держать〔动〕①拿着，握着，咬着②支撑③使处于（状态）④存放（某处）（一个时期）
держаться〔动〕①抓住，握住②靠（某物）支撑着③保持（状态）④维持
десятый〔数〕第十
десять〔数〕十，十个
дети〔名〕①儿童，孩子②子女，儿女
детский〔形〕①儿童的，孩子的，子女的②儿童所特有的，稚气的
детство〔名〕童年，童年时代
дешёвый〔形〕价格贱的；廉价的
деятель〔名〕活动家
деятельность〔名〕活动，工作
диалог〔名〕对话，对白
диван〔名〕长沙发
диктант〔名〕听写
диплом〔名〕①毕业证书，文凭②毕业论文，毕业设计
директор〔名〕经理，厂长，（中，小学）校长
дисплей〔名〕（计算机控制的）显示器
диссертация〔名〕学位论文
дисциплина〔名〕①纪律②（大学的）课程
длина〔名〕①长，长度②（时间的）长短
длительный〔形〕长时间的，长期的
длинный〔形〕长的
длиться〔动〕延长，拖长‖完продлиться
для〔前〕①为，给（某人、某物作某事）②为了（某种目的），以便
дневник〔名〕①日记，日志；日记簿②（中小学生的）记分册
дневной〔形〕①白昼的，白天的②一天的
днём〔副〕在白天
дно〔名〕底
до〔前〕①到，至②在…以前③到达，将近
добавлять〔动〕添上，增加，增补‖完добавить
добиваться〔动〕达到，得到；（经过努力）成功‖完добиться
добираться〔动〕勉强到达，好不容易达到‖完добраться
добрый〔形〕①善心的，善良的②良好的，好的
добывать〔动〕①取得；获得②开采，采掘‖完добыть
добыча〔名〕①добывать的动名词②猎获的东西③开采的东西
доверие〔名〕信任，信赖
доверять〔动〕信托，委托，托付‖完доверить
довольно〔副〕①足够②（用作谓语）够了，该停止了③相当地，够
довольный〔形〕①满意的，满足的②对…感到满意的
догодываться〔动〕领悟，猜想到‖完догадаться
договариваться〔动〕谈妥，约定‖完договориться
договор〔名〕条约，合同，契约
дождь〔名〕雨
дожидаться〔动〕等到‖完дождаться
доказывать〔动〕证明，证实‖完доказать
доклад〔名〕①报告②呈报；汇报
доктор〔名〕①医生②博士
документ〔名〕证明文件，证件；文献
долгий〔形〕长久的，时间长的，长的
должен〔用作合成谓语的一部分〕应当，必须，该
должность〔名〕职位，职务
доля〔名〕份，部分
дом〔名〕①房子②住所，家③宫，馆，院
дома〔副〕在家里
домашний〔形〕家庭的，家常的
домой〔副〕回家，往家里
дополнительный〔形〕补充的，附加的
допрашивать〔动〕审问，审讯‖完допросить
допускать〔动〕①准许进入，准许到（某处去）②准许使用，准许从事③容忍；犯（错误等）④假定，假设‖完допустить
дорога〔名〕路，道路
дорогой〔形〕①贵的，值钱的②宝贵的③亲爱的，亲切的
доска〔名〕①板，木板②黑板
доставать〔动〕①拿取，取出②碰到，触到③获得，弄到④足够‖完достать
достаточный〔形〕足够的，充分的，相当多的
достигать〔动〕①走到，到达②达到（某种程度，水平）‖完достигнуть
